job titles,location_names,skills,links,company_status,job_requirements,Date_Posted
Design Engineer II,"Full-Time, Hybrid Remote Job Breganze, Italy Candidates need to be able to work in the City or State specified","As a Software Automatic-Test Engineer, you will join our team, building a world-class simulation infrastructure to test our embedded software for the Combine platform. Bachelor's degree and Experience with Python, C, C#, C++, or equivalent. Hybrid.",https://www.flexjobs.com//publicjobs/design-engineer-ii-1706431,"Full-Time, Hybrid Remote Job","As a Software Automatic-Test Engineer, you will join our team, building a world-class simulation infrastructure to test our embedded software for the Combine platform. Bachelor's degree and Experience with Python, C, C#, C++, or equivalent. Hybrid.","
Dec 10
 

"
Senior Application Security Engineer,"Full-Time, 100% Remote Job CA, CO, Washington, DC, FL, GA, IL, MA, MD, MN, NC, NJ, NY, OR, TX, UT, VA, WA, WY Candidates need to be able to work in the City or State specified","Architect, develop, and maintain anti-cheat technology in our C/C++ game client(s). Analyze cheat and release binary behaviors to inform future anti-cheat direction. Keep abreast of developments in the cybersecurity and OS development industries...
",https://www.flexjobs.com//publicjobs/senior-application-security-engineer-1706340,"Full-Time, 100% Remote Job","Architect, develop, and maintain anti-cheat technology in our C/C++ game client(s). Analyze cheat and release binary behaviors to inform future anti-cheat direction. Keep abreast of developments in the cybersecurity and OS development industries...
","
Dec 4
 

"
C++ Game Developer,"Full-Time, 100% Remote Job Work from Anywhere ",Understand the game features and implement new features. Make sure user experience is consistent and improving. Communicate with product and design team to understand and implement new features. Keep user experience smooth during events. Implement...,https://www.flexjobs.com//publicjobs/c++-game-developer-1704476,"Full-Time, 100% Remote Job",Understand the game features and implement new features. Make sure user experience is consistent and improving. Communicate with product and design team to understand and implement new features. Keep user experience smooth during events. Implement...,"
Nov 30
 

"
Project Senior Software Engineer - Commerce,"Full-Time, 100% Remote Job CA, CO, Washington, DC, FL, GA, IL, MA, MD, MN, NC, NJ, NY, OR, TN, TX, UT, VA, WA, WI Candidates need to be able to work in the City or State specified","Efficiently deliver production code, workflows, and tools across multiple tech stacks in C++ and C# codebases. Ensure that our commerce systems are secure, scalable, and aligned with our values. Collaborate with a cross-disciplinary team to solve...",https://www.flexjobs.com//publicjobs/project-senior-software-engineer-commerce-1702661,"Full-Time, 100% Remote Job","Efficiently deliver production code, workflows, and tools across multiple tech stacks in C++ and C# codebases. Ensure that our commerce systems are secure, scalable, and aligned with our values. Collaborate with a cross-disciplinary team to solve...","
Nov 29
 

"
Project Senior Gameplay Engineer - Activities,"Full-Time, 100% Remote Job CA, CO, Washington, DC, FL, GA, IL, MA, MD, MN, NC, NJ, NY, OR, TN, TX, UT, VA, WA, WI Candidates need to be able to work in the City or State specified","Build and maintain production-quality C++ code. Design, build, extend, and maintain networked gameplay systems and associated tools and workflows. Professional capabilities in architecting, writing, debugging, and maintaining code in C++.",https://www.flexjobs.com//publicjobs/project-senior-gameplay-engineer-activities-1702664,"Full-Time, 100% Remote Job","Build and maintain production-quality C++ code. Design, build, extend, and maintain networked gameplay systems and associated tools and workflows. Professional capabilities in architecting, writing, debugging, and maintaining code in C++.","
Nov 29
 

"
Product Manager,"Full-Time, 100% Remote Job Atlanta, GA Candidates need to be able to work in the City or State specified","The client is currently looking for a PM to assist with a massive migration from C++ to Golang and Java. Currently everything is running on an older platform, and they are fully moving them to new greenfield services hosted in the cloud (GCP). This is...",https://www.flexjobs.com//publicjobs/product-manager-1703898,"Full-Time, 100% Remote Job","The client is currently looking for a PM to assist with a massive migration from C++ to Golang and Java. Currently everything is running on an older platform, and they are fully moving them to new greenfield services hosted in the cloud (GCP). This is...","
Nov 29
 

"
Lead Algorithms Engineer,"Full-Time, 100% Remote Job US National ",Lead Algorithms Engineer is needed for a remote opportunity. Candidate will build the next generation of visualization products. Must be fluent in C and C++. Bachelor's degree and prior related experience required.,https://www.flexjobs.com//publicjobs/lead-algorithms-engineer-1125791,"Full-Time, 100% Remote Job",Lead Algorithms Engineer is needed for a remote opportunity. Candidate will build the next generation of visualization products. Must be fluent in C and C++. Bachelor's degree and prior related experience required.,"
Nov 25
 

"
Animation Programmer - C++,"Full-Time, Option for Remote Job Vancouver, BC, Canada, Los Angeles, CA Candidates need to be able to work in the City or State specified","The animation programmer will be architecting technical designs, prototyping new mechanics, & developing tools. Candidates need C++ proficiency & at least five years' game development experience. The company offers a work-at-home option.",https://www.flexjobs.com//publicjobs/animation-programmer-c++-1428763,"Full-Time, Option for Remote Job","The animation programmer will be architecting technical designs, prototyping new mechanics, & developing tools. Candidates need C++ proficiency & at least five years' game development experience. The company offers a work-at-home option.","
Nov 21
 

"
Embedded Machine Learning Engineer,"Full-Time, 100% Remote Job Austria, Belgium, Denmark, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Ukraine, United Kingdom ","Implement deep learning algorithms for mobile devices that run in real-time, in high resolution and in challenging real life variations of scale and lighting. Help design and maintain a C++ framework involving complex computer vision & machine learning.
",https://www.flexjobs.com//publicjobs/embedded-machine-learning-engineer-1699968,"Full-Time, 100% Remote Job","Implement deep learning algorithms for mobile devices that run in real-time, in high resolution and in challenging real life variations of scale and lighting. Help design and maintain a C++ framework involving complex computer vision & machine learning.
","
Nov 18
 

"
Engineering Feature Lead - Sandbox Gameplay,"Full-Time, 100% Remote Job CA, CO, DC, FL, GA, IL, MA, MD, MN, NC, NJ, NY, OR, TN, TX, UT, VA, WA, WI Candidates need to be able to work in the City or State specified",Guide six Destiny 2 gameplay sandbox engineers. Collaborate with design leads to develop technical solutions that meet their needs. Experience designing and building player gameplay features. Ability to build and maintain production quality C++ code.,https://www.flexjobs.com//publicjobs/engineering-feature-lead-sandbox-gameplay-1639605,"Full-Time, 100% Remote Job",Guide six Destiny 2 gameplay sandbox engineers. Collaborate with design leads to develop technical solutions that meet their needs. Experience designing and building player gameplay features. Ability to build and maintain production quality C++ code.,"
Nov 16
 

"
